pop,mean_norm,num_norm,mean_high,num_high,mean_zero,num_zero,mean_mean,num_mean
1,31.247186884926084,126.84536082474226,4.3932795475061495,907.4072164948454,4.3932795475061495,907.4072164948454,4.3932795475061495,907.4072164948454
2,31.127596417698435,127.60204081632654,4.389991711729423,907.4336734693879,4.389991711729423,907.4336734693879,4.389991711729423,907.4336734693879
3,31.359079422070174,126.46596858638743,4.401393888721397,904.7905759162304,4.401393888721397,904.7905759162304,4.401393888721397,904.7905759162304
4,31.473448921496377,126.0204081632653,4.402499086711244,904.1632653061225,4.402499086711244,904.1632653061225,4.402499086711244,904.1632653061225
5,31.62359272837051,126.31016042780749,4.372104449942969,912.6256684491979,4.372104449942969,912.6256684491979,4.372104449942969,912.6256684491979
6,30.83446758713911,128.25945945945946,4.378366359836859,911.5405405405406,4.378366359836859,911.5405405405406,4.378366359836859,911.5405405405406
7,31.31757377205081,126.80829015544043,4.394193370422206,908.1865284974093,4.394193370422206,908.1865284974093,4.394193370422206,908.1865284974093
8,31.73208550567088,125.53571428571428,4.3620601484859405,912.3928571428571,4.3620601484859405,912.3928571428571,4.3620601484859405,912.3928571428571
9,30.764506471371153,129.12698412698413,4.396876465475005,907.4973544973545,4.396876465475005,907.4973544973545,4.396876465475005,907.4973544973545
10,30.773373362651405,128.83333333333331,4.391709643286471,907.265625,4.391709643286471,907.265625,4.391709643286471,907.265625
11,31.203991113211373,127.61855670103093,4.368592816121176,912.0618556701031,4.368592816121176,912.0618556701031,4.368592816121176,912.0618556701031
12,31.37745780441221,126.30569948186529,4.396136992131902,906.8186528497409,4.396136992131902,906.8186528497409,4.396136992131902,906.8186528497409
13,31.282527898726453,127.10317460317461,4.428566026335477,901.3571428571428,4.428566026335477,901.3571428571428,4.428566026335477,901.3571428571428
14,31.223914389967064,127.11734693877551,4.390041173777567,909.0357142857142,4.390041173777567,909.0357142857142,4.390041173777567,909.0357142857142
15,31.15672900809355,127.82702702702704,4.383340647660415,909.1513513513513,4.383340647660415,909.1513513513513,4.383340647660415,909.1513513513513
16,30.88654398137989,128.43298969072166,4.353285739943127,914.5979381443299,4.353285739943127,914.5979381443299,4.353285739943127,914.5979381443299
18,31.00434633579895,127.73958333333333,4.394850682179554,908.9270833333334,4.394850682179554,908.9270833333334,4.394850682179554,908.9270833333334
19,31.11518538561716,128.01020408163265,4.420591094102365,902.4030612244898,4.420591094102365,902.4030612244898,4.420591094102365,902.4030612244898
20,31.24832838487423,127.25,4.383757500702575,909.9627659574468,4.383757500702575,909.9627659574468,4.383757500702575,909.9627659574468
21,30.800091917454743,128.78260869565216,4.365893597329662,913.141304347826,4.365893597329662,913.141304347826,4.365893597329662,913.141304347826
22,31.29274690223881,126.69948186528495,4.410249580718591,905.3160621761658,4.410249580718591,905.3160621761658,4.410249580718591,905.3160621761658
23,30.959788944642973,128.01657458563534,4.352954083224198,915.0,4.352954083224198,915.0,4.352954083224198,915.0
24,31.45091108156846,126.6775956284153,4.389682375652448,907.2131147540983,4.389682375652448,907.2131147540983,4.389682375652448,907.2131147540983
25,31.620380934871218,125.51063829787233,4.38521552065049,910.0851063829786,4.38521552065049,910.0851063829786,4.38521552065049,910.0851063829786
26,31.37283299470268,127.20430107526882,4.40344615276465,906.0483870967741,4.40344615276465,906.0483870967741,4.40344615276465,906.0483870967741
